Las gallinas están emparentadas con:,Dinosaurios ,,
Hipopótamos,Cocodrilos ,Dinosaurios ,Mastodontes 
¿Cuántas especies contiene el Catálogo de Plantas de Colombia?,26000,,
90000,26000,15000,150000
Un par de robots cumplieron 10 años en Marte: ,Spirit-Opportunity ,,
Spirit-Opportunity ,Pathfinder-MLO ,Curiosity-Maden ,Viking-Mariner 
El físico Stephen Hawking escandalizó cuando dijo que: ,Los agujeros negros no son negros. ,,
Los agujeros negros no son negros. ,No se puede viajar a otros mundos. ,La velocidad de la luz cambia. ,Hay vida en planetas extrasolares. 
Kepler-186 f sería el primer exoplaneta: ,En tener agua ,,
En tener agua ,Más grande que la Tierra. ,En no tener estrella. ,En ser oscuro 
Investigadores antioqueños crearon una prueba para: ,Brucelosis canina ,,
Brucelosis canina ,Fiebre aviar ,Papiloma vacuno ,Rabia en murciélagos 
En el océano hallaron por primera vez: ,Rocas de plástico ,,
Estrellas negras ,Pulpos enanos ,Rocas de icopor ,Rocas de plástico 
Científicos reportaron la creación de un marcapasos: ,De células ,,
De proteínas ,Muscular ,De células ,Inalámbrico 
Un nuevo estudio mostró que los perros: ,Son celosos ,,
Transmiten malaria ,Transmiten tuberculosis ,Sienten odio ,Son celosos 
Un análisis genético reveló que el gato es un animal: ,Semisalvaje ,,
Solitario ,Nómada ,Semisalvaje ,Social
